scenario,realization,save_path,n,request_failure_pct,service_delay_pct,avg_wait_min,elapsed_min
F644,1,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r1/simulation_1,5993,20.591,31.939,24.752,1.7
F644,2,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r2/simulation_1,6080,21.036,30.119,24.133,1.7
F644,3,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r3/simulation_1,6099,20.708,30.666,24.429,1.5
F644,4,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r4/simulation_1,6011,19.132,25.118,21.723,1.7
F644,5,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r5/simulation_1,6061,20.954,30.787,24.271,2.2
F644,9,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r9/simulation_1,5873,16.261,25.336,21.846,2.2
F644,8,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r8/simulation_1,5958,18.261,25.955,22.396,2.3
F644,7,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r7/simulation_1,6035,18.84,24.867,21.397,2.3
F644,6,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F644_r6/simulation_1,5959,17.134,24.666,21.588,2.4
F674,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r0/simulation_1,5931,14.197,23.246,21.005,1.8
F674,1,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r1/simulation_1,5993,17.053,28.043,22.908,1.6
F674,4,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r4/simulation_1,6011,15.688,19.968,19.109,2.1
F674,6,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r6/simulation_1,5959,14.063,18.942,18.597,2.1
F674,5,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r5/simulation_1,6061,16.614,26.593,22.31,2.1
F674,2,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r2/simulation_1,6080,17.105,25.714,22.002,2.2
F674,3,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F674_r3/simulation_1,6099,15.871,22.237,20.508,2.2
